latin	cyrillic
python	пайтон
java	джава
javascript	джаваскрипт
typescript	тайпскрипт
docker	докер
kubernetes	кубернетіс
linux	лінукс
windows	віндовс
macos	макос
google	гугл
shop	шоп
server	сервер
client	клієнт
cloud	клауд
api	ей пі ай
web	веб
online	онлайн
offline	офлайн
browser	браузер
plugin	плагін
chat	чат
bot	бот
code	код
file	файл
script	скрипт
test	тест
build	білд
release	реліз
update	апдейт
backup	бекап
cache	кеш
database	дейтабейс
frontend	фронтенд
backend	бекенд
framework	фреймворк
download	даунлоуд
upload	аплоуд
account	акаунт
login	логін
token	токен
mobile	мобайл
desktop	десктоп
message	меседж
feature	фіча
bug	баг
link	лінк
click	клік
# Common English technical readings used in mixed Ukrainian text.
compiler	компайлер
runtime	рантайм
thread	тред
stack	стек
heap	хіп
index	індекс
data	дейта
dataset	дейтасет
model	модель
prompt	промпт
query	квері
user	юзер
admin	адмін
website	вебсайт
network	нетворк
privacy	прайвесі
audio	аудіо
video	відео
error	ерор
debug	дебаг
deploy	деплой
install	інстал
library	лайбрарі
array	ерей
string	стрінг
object	об'єкт
method	метод
process	процес
task	таск
job	джоб
input	інпут
output	аутпут
status	статус
config	конфіг
terminal	термінал
console	консоль
driver	драйвер
router	роутер
switch	світч
socket	сокет
kernel	кернел
memory	меморі
storage	сторидж
device	девайс
screen	скрін
display	дисплей
monitor	монітор
printer	принтер
scanner	сканер
